29, 44, 36, 37, 3.523626e-01
34, 49, 41, 42, 8.417959e-01
35, 50, 42, 43, 5.789283e-01
37, 52, 44, 45, 7.047192e-01
39, 54, 46, 47, 7.460640e-01
41, 56, 48, 49, 5.763744e-01
43, 58, 50, 51, 8.973830e-01
45, 60, 52, 53, 8.042684e-01
47, 62, 54, 55, 5.050632e-01
49, 64, 56, 57, 5.575786e-01
2, 19, 10, 11, 2.985449e-02
3, 20, 11, 12, 7.917324e-02
4, 21, 12, 13, 6.074222e-02
5, 22, 13, 14, 6.436138e-02
6, 23, 14, 15, 5.645653e-02
8, 25, 16, 17, 1.077619e-01
10, 27, 18, 19, 3.217002e-01
12, 29, 20, 21, 1.235056e-01
14, 31, 22, 23, 1.212236e-01
16, 33, 24, 25, 1.799781e-01
18, 35, 26, 27, 2.827404e-01
20, 37, 28, 29, 3.258418e-01
22, 39, 30, 31, 3.520624e-01
24, 41, 32, 33, 3.234404e-01
26, 43, 34, 35, 4.709436e-01
28, 45, 36, 37, 2.075563e-01
30, 47, 38, 39, 2.358658e-01
32, 49, 40, 41, 3.187615e-01
34, 51, 42, 43, 3.255852e-01
36, 53, 44, 45, 5.268700e-01
38, 55, 46, 47, 4.656963e-01
40, 57, 48, 49, 4.189514e-01
42, 59, 50, 51, 5.624387e-01
44, 61, 52, 53, 4.054089e-01
46, 63, 54, 55, 3.300641e-01
1, 20, 10, 11, 1.797198e-02
9, 28, 18, 19, 2.259437e-01
11, 30, 20, 21, 1.183069e-01
29, 48, 38, 39, 1.717096e-01
31, 50, 40, 41, 2.129230e-01
33, 52, 42, 43, 2.308971e-01
35, 54, 44, 45, 3.593407e-01
37, 56, 46, 47, 3.386593e-01
39, 58, 48, 49, 3.025983e-01
41, 60, 50, 51, 2.911556e-01
43, 62, 52, 53, 2.513538e-01
45, 64, 54, 55, 1.640800e-01
2, 23, 12, 13, 1.471428e-02
3, 24, 13, 14, 2.702703e-02
4, 25, 14, 15, 1.351833e-02
5, 26, 15, 16, 4.107254e-02
6, 27, 16, 17, 4.595846e-02
8, 29, 18, 19, 7.320827e-02
10, 31, 20, 21, 5.315090e-02
12, 33, 22, 23, 5.363820e-02
14, 35, 24, 25, 5.191686e-02
16, 37, 26, 27, 6.387137e-02
18, 39, 28, 29, 1.211216e-01
20, 41, 30, 31, 1.339251e-01
22, 43, 32, 33, 1.373936e-01
24, 45, 34, 35, 1.600142e-01
28, 49, 38, 39, 1.003581e-01
30, 51, 40, 41, 1.125572e-01
32, 53, 42, 43, 9.999149e-02
34, 55, 44, 45, 1.951844e-01
36, 57, 46, 47, 2.110000e-01
38, 59, 48, 49, 1.227132e-01
39, 60, 49, 50, 1.521828e-01
40, 61, 50, 51, 1.637451e-01
42, 63, 52, 53, 1.697048e-01
1, 24, 12, 13, 7.269946e-03
3, 26, 14, 15, 2.207334e-02
4, 27, 15, 16, 2.122280e-02
6, 29, 17, 18, 3.846819e-02
7, 30, 18, 19, 6.080165e-02
11, 34, 22, 23, 3.066031e-02
13, 36, 24, 25, 2.780243e-02
15, 38, 26, 27, 3.834784e-02
16, 39, 27, 28, 4.278075e-02
17, 40, 28, 29, 6.912357e-02
19, 42, 30, 31, 8.656716e-02
21, 44, 32, 33, 7.879580e-02
